id,name,code,description,is_active,created_at,job_description_file
7,Cleaning Associate,CA,Pre and Post repair Bike wash,t,2025-07-10 17:48:40.401701,
6,Mobile Quality Control Associate,MQC,Audit and verify the accuracy of fault marking and minor repairs across Yulu Centres.,t,2025-07-10 17:48:40.401701,
5,Quality Control Associate,QCA,Conducts assessments and quality checks on bikes and tools; ensures high repair standards.,t,2025-07-10 17:48:40.401701,
4,Bike Captain,BC,"Ensures quality and availability of the bike fleet through assessments, minor repairs, and battery audits.",t,2025-07-10 17:48:40.401701,
8,Workshop Incharge,WI,"",t,2025-07-15 11:42:28.151717,
9,Mechanic,MC,"",t,2025-07-15 11:50:27.728205,
10,Operator,OPR,"",t,2025-07-15 11:50:37.354893,
11,Pilot,PL,"",t,2025-07-15 11:50:47.441954,
12,Sales Associate,SA,"",t,2025-07-15 11:52:15.214106,
13,Marshal,ML,"",t,2025-07-15 11:52:31.742304,
14,Battery PDI Technician,BPT,"",t,2025-07-15 11:52:47.711759,
15,Warehouse Associate,WA,"",t,2025-07-15 11:52:57.281876,
16,Zone Screener,ZS,"",t,2025-07-15 11:53:05.611471,
17,Cluster Executive,CE,"",t,2025-07-15 11:53:36.713026,
18,Inventory Associate,IA,"",t,2025-07-15 11:53:51.91395,
19,Refurb Mechanic,RM,"",t,2025-07-15 11:54:04.247999,
20,Bike fitter,BF,"",t,2025-07-15 11:55:33.339587,
